;id;Date;City;Temperature;Sales;Temperature_C
73;32281;2012-03-14;New York City;63.3;120;17.0
74;32282;2012-03-15;New York City;48.6;119;9.0
75;32283;2012-03-16;New York City;44.5;122;6.0
76;32284;2012-03-17;New York City;49.9;112;9.0
77;32285;2012-03-18;New York City;50.9;111;10.0
78;32286;2012-03-19;New York City;59.3;107;15.0
79;32287;2012-03-20;New York City;60.0;109;15.0
80;32288;2012-03-21;New York City;57.8;113;14.0
81;32289;2012-03-22;New York City;61.2;120;16.0
82;32290;2012-03-23;New York City;65.1;114;18.0
83;32291;2012-03-24;New York City;58.1;121;14.0
84;32292;2012-03-25;New York City;48.3;129;9.0
85;32293;2012-03-26;New York City;50.0;131;10.0
86;32294;2012-03-27;New York City;39.7;116;4.0
87;32295;2012-03-28;New York City;52.7;119;11.0
88;32296;2012-03-29;New York City;56.1;122;13.0
89;32297;2012-03-30;New York City;46.9;130;8.0
90;32298;2012-03-31;New York City;42.6;118;5.0
91;32299;2012-04-01;New York City;46.3;123;7.0
92;32300;2012-04-02;New York City;48.1;127;8.0
93;32301;2012-04-03;New York City;51.0;138;10.0
94;32302;2012-04-04;New York City;59.8;135;15.0
95;32303;2012-04-05;New York City;50.8;127;10.0
96;32304;2012-04-06;New York City;48.3;133;9.0
97;32305;2012-04-07;New York City;50.9;134;10.0
98;32306;2012-04-08;New York City;55.2;129;12.0
99;32307;2012-04-09;New York City;58.2;127;14.0
100;32308;2012-04-10;New York City;55.8;140;13.0
101;32309;2012-04-11;New York City;48.9;144;9.0
102;32310;2012-04-12;New York City;51.2;141;10.0
103;32311;2012-04-13;New York City;54.4;138;12.0
104;32312;2012-04-14;New York City;59.9;142;15.0
105;32313;2012-04-15;New York City;68.5;136;20.0
106;32314;2012-04-16;New York City;73.1;138;22.0
107;32315;2012-04-17;New York City;72.7;149;22.0
108;32316;2012-04-18;New York City;58.8;141;14.0
109;32317;2012-04-19;New York City;52.9;148;11.0
110;32318;2012-04-20;New York City;61.1;144;16.0
111;32319;2012-04-21;New York City;62.0;147;16.0
112;32320;2012-04-22;New York City;52.6;144;11.0
113;32321;2012-04-23;New York City;51.3;160;10.0
114;32322;2012-04-24;New York City;49.7;150;9.0
115;32323;2012-04-25;New York City;54.6;152;12.0
116;32324;2012-04-26;New York City;53.7;147;12.0
117;32325;2012-04-27;New York City;51.4;150;10.0
118;32326;2012-04-28;New York City;47.9;163;8.0
119;32327;2012-04-29;New York City;54.7;161;12.0
120;32328;2012-04-30;New York City;53.0;150;11.0
121;32329;2012-05-01;New York City;57.2;159;14.0
122;32330;2012-05-02;New York City;53.6;169;12.0
123;32331;2012-05-03;New York City;54.3;151;12.0
124;32332;2012-05-04;New York City;60.0;169;15.0
125;32333;2012-05-05;New York City;57.9;157;14.0
126;32334;2012-05-06;New York City;58.5;163;14.0
127;32335;2012-05-07;New York City;57.5;168;14.0
128;32336;2012-05-08;New York City;58.9;173;14.0
129;32337;2012-05-09;New York City;62.3;163;16.0
130;32338;2012-05-10;New York City;60.7;160;15.0
131;32339;2012-05-11;New York City;59.5;170;15.0
132;32340;2012-05-12;New York City;66.8;161;19.0
133;32341;2012-05-13;New York City;72.7;169;22.0
134;32342;2012-05-14;New York City;69.5;180;20.0
135;32343;2012-05-15;New York City;63.9;181;17.0
136;32344;2012-05-16;New York City;66.1;165;18.0
137;32345;2012-05-17;New York City;65.7;182;18.0
138;32346;2012-05-18;New York City;63.1;171;17.0
139;32347;2012-05-19;New York City;65.3;174;18.0
140;32348;2012-05-20;New York City;65.9;177;18.0
141;32349;2012-05-21;New York City;60.4;171;15.0
142;32350;2012-05-22;New York City;60.0;178;15.0
143;32351;2012-05-23;New York City;68.3;182;20.0
144;32352;2012-05-24;New York City;65.2;172;18.0
145;32353;2012-05-25;New York City;63.4;175;17.0
146;32354;2012-05-26;New York City;73.3;182;22.0
147;32355;2012-05-27;New York City;74.5;189;23.0
148;32356;2012-05-28;New York City;78.1;189;25.0
149;32357;2012-05-29;New York City;82.6;189;28.0
150;32358;2012-05-30;New York City;75.0;191;23.0
151;32359;2012-05-31;New York City;73.5;191;23.0
152;32360;2012-06-01;New York City;68.2;184;20.0
153;32361;2012-06-02;New York City;69.0;186;20.0
154;32362;2012-06-03;New York City;67.8;186;19.0
155;32363;2012-06-04;New York City;62.0;190;16.0
156;32364;2012-06-05;New York City;58.3;192;14.0
157;32365;2012-06-06;New York City;63.6;185;17.0
158;32366;2012-06-07;New York City;67.5;196;19.0
159;32367;2012-06-08;New York City;67.2;205;19.0
160;32368;2012-06-09;New York City;74.4;196;23.0
161;32369;2012-06-10;New York City;74.2;197;23.0
162;32370;2012-06-11;New York City;71.6;190;21.0
163;32371;2012-06-12;New York City;68.5;202;20.0
164;32372;2012-06-13;New York City;67.2;209;19.0
165;32373;2012-06-14;New York City;69.3;207;20.0
166;32374;2012-06-15;New York City;70.3;197;21.0
167;32375;2012-06-16;New York City;70.2;214;21.0
168;32376;2012-06-17;New York City;65.3;214;18.0
169;32377;2012-06-18;New York City;63.9;207;17.0
170;32378;2012-06-19;New York City;68.3;210;20.0
171;32379;2012-06-20;New York City;81.4;214;27.0
172;32380;2012-06-21;New York City;89.2;210;31.0
173;32381;2012-06-22;New York City;85.1;209;29.0
174;32382;2012-06-23;New York City;76.4;209;24.0
175;32383;2012-06-24;New York City;74.0;214;23.0
176;32384;2012-06-25;New York City;71.8;221;22.0
177;32385;2012-06-26;New York City;66.5;213;19.0
178;32386;2012-06-27;New York City;73.5;206;23.0
179;32387;2012-06-28;New York City;79.5;224;26.0
180;32388;2012-06-29;New York City;85.7;210;29.0
181;32389;2012-06-30;New York City;88.5;220;31.0
182;32390;2012-07-01;New York City;86.7;222;30.0
183;32391;2012-07-02;New York City;81.7;222;27.0
184;32392;2012-07-03;New York City;81.4;225;27.0
185;32393;2012-07-04;New York City;83.4;226;28.0
186;32394;2012-07-05;New York City;87.8;225;31.0
187;32395;2012-07-06;New York City;82.2;210;27.0
188;32396;2012-07-07;New York City;86.2;205;30.0
189;32397;2012-07-08;New York City;82.8;220;28.0
190;32398;2012-07-09;New York City;79.7;210;26.0
191;32399;2012-07-10;New York City;77.7;210;25.0
192;32400;2012-07-11;New York City;78.1;212;25.0
193;32401;2012-07-12;New York City;78.8;209;26.0
194;32402;2012-07-13;New York City;80.9;206;27.0
195;32403;2012-07-14;New York City;80.7;214;27.0
196;32404;2012-07-15;New York City;81.4;196;27.0
197;32405;2012-07-16;New York City;81.0;201;27.0
198;32406;2012-07-17;New York City;87.2;206;30.0
199;32407;2012-07-18;New York City;89.0;205;31.0
200;32408;2012-07-19;New York City;75.3;204;24.0
201;32409;2012-07-20;New York City;69.2;197;20.0
202;32410;2012-07-21;New York City;69.3;202;20.0
203;32411;2012-07-22;New York City;74.8;192;23.0
204;32412;2012-07-23;New York City;77.4;195;25.0
205;32413;2012-07-24;New York City;83.1;206;28.0
206;32414;2012-07-25;New York City;78.2;199;25.0
207;32415;2012-07-26;New York City;81.4;188;27.0
208;32416;2012-07-27;New York City;80.3;195;26.0
209;32417;2012-07-28;New York City;76.4;189;24.0
210;32418;2012-07-29;New York City;72.7;189;22.0
211;32419;2012-07-30;New York City;74.6;185;23.0
212;32420;2012-07-31;New York City;74.0;193;23.0
213;32421;2012-08-01;New York City;75.2;196;24.0
214;32422;2012-08-02;New York City;79.1;179;26.0
215;32423;2012-08-03;New York City;83.4;177;28.0
216;32424;2012-08-04;New York City;83.4;183;28.0
217;32425;2012-08-05;New York City;83.4;192;28.0
218;32426;2012-08-06;New York City;80.2;188;26.0
219;32427;2012-08-07;New York City;77.3;190;25.0
220;32428;2012-08-08;New York City;79.8;172;26.0
221;32429;2012-08-09;New York City;81.2;190;27.0
222;32430;2012-08-10;New York City;79.2;181;26.0
223;32431;2012-08-11;New York City;80.8;185;27.0
224;32432;2012-08-12;New York City;81.0;177;27.0
225;32433;2012-08-13;New York City;79.1;174;26.0
226;32434;2012-08-14;New York City;78.9;170;26.0
227;32435;2012-08-15;New York City;76.2;182;24.0
228;32436;2012-08-16;New York City;75.6;168;24.0
229;32437;2012-08-17;New York City;81.3;180;27.0
230;32438;2012-08-18;New York City;72.7;177;22.0
231;32439;2012-08-19;New York City;72.0;169;22.0
232;32440;2012-08-20;New York City;73.6;171;23.0
233;32441;2012-08-21;New York City;74.9;169;23.0
234;32442;2012-08-22;New York City;76.6;163;24.0
235;32443;2012-08-23;New York City;77.5;160;25.0
236;32444;2012-08-24;New York City;78.7;167;25.0
237;32445;2012-08-25;New York City;77.5;159;25.0
238;32446;2012-08-26;New York City;74.5;160;23.0
239;32447;2012-08-27;New York City;75.8;167;24.0
240;32448;2012-08-28;New York City;79.9;169;26.0
241;32449;2012-08-29;New York City;75.2;160;24.0
242;32450;2012-08-30;New York City;75.2;154;24.0
243;32451;2012-08-31;New York City;81.9;156;27.0
244;32452;2012-09-01;New York City;83.4;161;28.0
245;32453;2012-09-02;New York City;76.1;159;24.0
246;32454;2012-09-03;New York City;74.7;159;23.0
247;32455;2012-09-04;New York City;74.5;160;23.0
248;32456;2012-09-05;New York City;78.6;150;25.0
249;32457;2012-09-06;New York City;75.9;158;24.0
250;32458;2012-09-07;New York City;79.0;155;26.0
251;32459;2012-09-08;New York City;78.3;149;25.0
252;32460;2012-09-09;New York City;70.9;152;21.0
253;32461;2012-09-10;New York City;67.9;151;19.0
254;32462;2012-09-11;New York City;65.1;146;18.0
255;32463;2012-09-12;New York City;70.8;149;21.0
256;32464;2012-09-13;New York City;71.9;147;22.0
257;32465;2012-09-14;New York City;72.1;135;22.0
258;32466;2012-09-15;New York City;69.3;136;20.0
259;32467;2012-09-16;New York City;67.9;137;19.0
260;32468;2012-09-17;New York City;70.0;149;21.0
261;32469;2012-09-18;New York City;72.7;135;22.0
262;32470;2012-09-19;New York City;67.5;140;19.0
263;32471;2012-09-20;New York City;63.3;131;17.0
264;32472;2012-09-21;New York City;66.1;128;18.0
265;32473;2012-09-22;New York City;67.7;127;19.0
266;32474;2012-09-23;New York City;66.0;138;18.0
267;32475;2012-09-24;New York City;62.1;143;16.0
268;32476;2012-09-25;New York City;64.1;131;17.0
269;32477;2012-09-26;New York City;69.4;139;20.0
270;32478;2012-09-27;New York City;71.4;130;21.0
271;32479;2012-09-28;New York City;67.5;140;19.0
272;32480;2012-09-29;New York City;62.1;132;16.0
273;32481;2012-09-30;New York City;62.4;123;16.0
274;32482;2012-10-01;New York City;63.0;125;17.0
275;32483;2012-10-02;New York City;66.5;122;19.0
276;32484;2012-10-03;New York City;66.3;116;19.0
277;32485;2012-10-04;New York City;70.1;128;21.0
278;32486;2012-10-05;New York City;71.4;133;21.0
279;32487;2012-10-06;New York City;70.5;116;21.0
280;32488;2012-10-07;New York City;54.8;126;12.0
281;32489;2012-10-08;New York City;51.7;124;10.0
282;32490;2012-10-09;New York City;55.4;118;13.0
283;32491;2012-10-10;New York City;59.8;114;15.0
284;32492;2012-10-11;New York City;56.0;116;13.0
285;32493;2012-10-12;New York City;53.7;115;12.0
286;32494;2012-10-13;New York City;47.3;124;8.0
287;32495;2012-10-14;New York City;59.7;122;15.0
288;32496;2012-10-15;New York City;67.0;112;19.0
289;32497;2012-10-16;New York City;58.1;113;14.0
290;32498;2012-10-17;New York City;53.9;104;12.0
291;32499;2012-10-18;New York City;58.4;102;14.0
292;32500;2012-10-19;New York City;64.9;116;18.0
293;32501;2012-10-20;New York City;64.9;111;18.0
294;32502;2012-10-21;New York City;58.9;102;14.0
295;32503;2012-10-22;New York City;60.4;105;15.0
296;32504;2012-10-23;New York City;61.9;113;16.0
297;32505;2012-10-24;New York City;58.2;103;14.0
298;32506;2012-10-25;New York City;58.9;105;14.0
299;32507;2012-10-26;New York City;62.2;99;16.0
300;32508;2012-10-27;New York City;63.2;104;17.0
301;32509;2012-10-28;New York City;59.2;103;15.0
302;32510;2012-10-29;New York City;58.4;98;14.0
303;32511;2012-10-30;New York City;57.7;103;14.0
304;32512;2012-10-31;New York City;51.4;107;10.0
305;32513;2012-11-01;New York City;47.5;99;8.0
306;32514;2012-11-02;New York City;49.2;99;9.0
307;32515;2012-11-03;New York City;46.6;103;8.0
308;32516;2012-11-04;New York City;43.2;95;6.0
309;32517;2012-11-05;New York City;43.2;90;6.0
310;32518;2012-11-06;New York City;38.4;84;3.0
311;32519;2012-11-07;New York City;38.9;94;3.0
312;32520;2012-11-08;New York City;40.1;91;4.0
313;32521;2012-11-09;New York City;44.9;83;7.0
314;32522;2012-11-10;New York City;49.6;92;9.0
315;32523;2012-11-11;New York City;54.1;96;12.0
316;32524;2012-11-12;New York City;56.0;79;13.0
317;32525;2012-11-13;New York City;53.3;85;11.0
318;32526;2012-11-14;New York City;43.3;76;6.0
319;32527;2012-11-15;New York City;41.7;80;5.0
320;32528;2012-11-16;New York City;42.6;79;5.0
321;32529;2012-11-17;New York City;44.8;73;7.0
322;32530;2012-11-18;New York City;44.7;70;7.0
323;32531;2012-11-19;New York City;43.6;88;6.0
324;32532;2012-11-20;New York City;45.3;72;7.0
325;32533;2012-11-21;New York City;47.5;81;8.0
326;32534;2012-11-22;New York City;47.6;85;8.0
327;32535;2012-11-23;New York City;48.5;74;9.0
328;32536;2012-11-24;New York City;46.0;67;7.0
329;32537;2012-11-25;New York City;38.5;80;3.0
330;32538;2012-11-26;New York City;42.3;64;5.0
331;32539;2012-11-27;New York City;40.5;78;4.0
332;32540;2012-11-28;New York City;38.5;78;3.0
333;32541;2012-11-29;New York City;39.8;68;4.0
334;32542;2012-11-30;New York City;43.0;75;6.0
335;32543;2012-12-01;New York City;39.5;76;4.0
336;32544;2012-12-02;New York City;44.3;66;6.0
337;32545;2012-12-03;New York City;53.9;59;12.0
338;32546;2012-12-04;New York City;51.4;73;10.0
339;32547;2012-12-05;New York City;53.0;67;11.0
340;32548;2012-12-06;New York City;36.7;68;2.0
341;32549;2012-12-07;New York City;40.9;64;4.0
342;32550;2012-12-08;New York City;46.9;58;8.0
343;32551;2012-12-09;New York City;47.5;68;8.0
344;32552;2012-12-10;New York City;50.6;63;10.0
345;32553;2012-12-11;New York City;49.8;64;9.0
346;32554;2012-12-12;New York City;41.7;50;5.0
347;32555;2012-12-13;New York City;41.8;59;5.0
348;32556;2012-12-14;New York City;42.9;54;6.0
349;32557;2012-12-15;New York City;44.0;49;6.0
350;32558;2012-12-16;New York City;44.2;59;6.0
351;32559;2012-12-17;New York City;42.8;46;5.0
352;32560;2012-12-18;New York City;47.3;41;8.0
353;32561;2012-12-19;New York City;45.4;44;7.0
354;32562;2012-12-20;New York City;40.7;52;4.0
355;32563;2012-12-21;New York City;48.3;56;9.0
356;32564;2012-12-22;New York City;38.4;51;3.0
357;32565;2012-12-23;New York City;39.3;48;4.0
358;32566;2012-12-24;New York City;38.8;34;3.0
359;32567;2012-12-25;New York City;37.5;43;3.0
360;32568;2012-12-26;New York City;33.2;42;0.0
361;32569;2012-12-27;New York City;39.1;48;3.0
362;32570;2012-12-28;New York City;33.8;47;0.0
363;32571;2012-12-29;New York City;33.5;33;0.0
364;32572;2012-12-30;New York City;33.5;36;0.0
365;32573;2012-12-31;New York City;33.0;39;0.0
